Year, Week, Age Group,A (H1),A (Unable to Subtype),A (H3),A (H1N1)pdm09,A (Subtyping not Performed),B (Victoria Lineage),B (Yamagata Lineage),B (Lineage Unspecified),H3N2v
2019,36,65+ yr,0,0,28,1,1,0,0,0,0
2019,37,65+ yr,0,0,31,0,3,1,0,0,0
2019,38,65+ yr,0,0,24,1,1,1,0,1,0
2019,39,65+ yr,0,0,21,0,2,0,0,0,0
2017,40,0-4 yr,0,0,7,2,0,0,0,0,0
2017,41,0-4 yr,0,0,6,4,2,0,2,2,0
2017,42,0-4 yr,0,0,12,4,0,0,1,1,0
2017,43,0-4 yr,0,0,17,7,7,0,0,3,0
2017,44,0-4 yr,0,0,20,5,7,0,3,3,0
2017,45,0-4 yr,0,0,29,3,0,0,1,0,0
2017,46,0-4 yr,0,0,33,12,0,0,2,2,0
2017,47,0-4 yr,0,0,43,10,0,1,4,2,0
2017,48,0-4 yr,0,0,61,5,1,0,4,0,0
2017,49,0-4 yr,0,0,85,9,0,3,3,2,0
2017,50,0-4 yr,0,0,115,18,0,2,9,0,0
2017,51,0-4 yr,0,0,138,22,1,5,18,5,0
2017,52,0-4 yr,0,0,193,24,1,7,19,2,0
2018,1,0-4 yr,0,0,166,45,0,10,26,2,0
2018,2,0-4 yr,0,0,204,40,2,6,17,4,0
2018,3,0-4 yr,0,0,184,64,0,5,33,5,0
2018,4,0-4 yr,0,0,194,64,0,11,42,8,0
2018,5,0-4 yr,0,0,168,74,1,15,45,15,0
2018,6,0-4 yr,0,0,133,71,3,22,39,22,0
2018,7,0-4 yr,0,0,94,62,0,18,47,15,0
2018,8,0-4 yr,0,0,86,44,0,20,55,11,0
2018,9,0-4 yr,0,0,56,20,1,7,42,14,0
2018,10,0-4 yr,0,0,29,20,3,8,23,7,0
2018,11,0-4 yr,0,0,15,32,2,11,21,15,0
2018,12,0-4 yr,0,0,19,10,1,9,15,12,0
2018,13,0-4 yr,0,0,16,18,0,11,28,10,0
2018,14,0-4 yr,0,0,15,15,0,7,24,6,0
2018,15,0-4 yr,0,0,13,11,0,3,20,0,0
2018,16,0-4 yr,0,0,5,6,0,4,5,8,0
2018,17,0-4 yr,0,0,5,8,0,3,10,3,0
2018,18,0-4 yr,0,0,3,9,0,2,8,1,0
2018,19,0-4 yr,0,0,3,2,0,0,1,0,0
2018,20,0-4 yr,0,0,1,5,0,1,4,0,0
2018,21,0-4 yr,0,0,1,9,0,0,2,1,0
2018,22,0-4 yr,0,0,0,2,0,0,1,0,0
2018,23,0-4 yr,0,0,0,1,0,1,0,0,0
2018,24,0-4 yr,0,0,0,0,0,0,1,0,0
2018,25,0-4 yr,0,0,0,0,0,0,1,0,0
2018,26,0-4 yr,0,0,0,0,0,0,0,0,0
2018,27,0-4 yr,0,0,0,3,0,0,1,0,0
2018,28,0-4 yr,0,0,0,3,0,0,0,0,0
2018,29,0-4 yr,0,0,1,0,0,0,1,1,0
2018,30,0-4 yr,0,0,0,3,0,0,0,0,0
2018,31,0-4 yr,0,0,0,1,0,0,0,0,0
2018,32,0-4 yr,0,0,0,0,2,0,0,0,0
2018,33,0-4 yr,0,0,0,0,0,0,0,0,0
2018,34,0-4 yr,0,0,1,2,0,0,0,0,0
2018,35,0-4 yr,0,0,0,3,0,0,0,0,0
2018,36,0-4 yr,0,0,0,2,0,0,0,1,0
2018,37,0-4 yr,0,0,1,6,0,0,0,0,0
2018,38,0-4 yr,0,0,3,0,0,0,0,0,0
2018,39,0-4 yr,0,0,0,1,0,0,0,0,0
2017,40,5-24 yr,0,0,21,3,1,0,3,0,0
2017,41,5-24 yr,0,0,22,3,2,1,0,0,0
2017,42,5-24 yr,0,0,40,4,0,0,2,0,0
2017,43,5-24 yr,0,0,34,12,6,0,6,3,0
2017,44,5-24 yr,0,0,63,10,2,2,10,7,0
2017,45,5-24 yr,0,0,85,6,0,1,8,5,0
2017,46,5-24 yr,0,0,94,27,1,3,24,11,0
2017,47,5-24 yr,0,0,97,8,0,1,20,2,0
2017,48,5-24 yr,0,0,163,13,0,6,24,3,1
2017,49,5-24 yr,0,0,276,19,0,9,34,12,0
2017,50,5-24 yr,0,0,353,45,2,20,66,18,0
2017,51,5-24 yr,0,0,448,46,2,23,70,10,0
2017,52,5-24 yr,0,0,328,56,3,11,65,15,0
2018,1,5-24 yr,0,0,319,42,0,14,54,10,0
2018,2,5-24 yr,0,0,477,76,5,18,120,34,0
2018,3,5-24 yr,0,0,477,82,3,20,108,47,0
2018,4,5-24 yr,0,0,578,150,5,27,214,67,0
2018,5,5-24 yr,0,0,586,168,7,42,267,139,0
2018,6,5-24 yr,0,0,472,159,1,50,307,127,0
2018,7,5-24 yr,0,0,366,122,0,64,283,88,0
2018,8,5-24 yr,0,0,221,53,3,54,221,73,0
2018,9,5-24 yr,0,0,108,57,0,53,144,63,0
2018,10,5-24 yr,0,0,70,32,3,47,127,45,0
2018,11,5-24 yr,0,0,52,43,6,33,98,39,0
2018,12,5-24 yr,0,0,53,23,0,27,103,27,0
2018,13,5-24 yr,0,0,57,26,2,29,88,25,0
2018,14,5-24 yr,0,0,37,31,0,26,57,14,0
2018,15,5-24 yr,0,0,24,28,0,21,38,16,0
2018,16,5-24 yr,0,0,19,15,0,21,36,9,0
2018,17,5-24 yr,0,0,9,16,0,15,22,19,0
2018,18,5-24 yr,0,0,6,7,1,4,34,8,0
2018,19,5-24 yr,0,0,5,4,0,1,11,2,0
2018,20,5-24 yr,0,0,3,4,0,2,6,5,0
2018,21,5-24 yr,0,0,0,5,0,2,5,2,0
2018,22,5-24 yr,0,0,1,0,0,1,2,0,0
2018,23,5-24 yr,0,0,1,1,0,0,2,0,0
2018,24,5-24 yr,0,0,1,2,0,1,3,0,0
2018,25,5-24 yr,0,0,1,1,0,1,1,0,1
2018,26,5-24 yr,0,0,3,1,0,0,0,0,0
2018,27,5-24 yr,0,0,0,0,0,0,3,1,0
2018,28,5-24 yr,0,0,1,0,0,1,0,0,0
2018,29,5-24 yr,0,0,0,7,0,1,0,1,0
2018,30,5-24 yr,0,0,1,3,1,2,0,0,0
2018,31,5-24 yr,0,0,3,3,2,0,0,0,0
2018,32,5-24 yr,0,0,0,2,3,0,0,0,0
2018,33,5-24 yr,0,0,1,0,1,0,1,0,0
2018,34,5-24 yr,0,0,5,5,1,0,0,0,0
2018,35,5-24 yr,0,0,1,0,0,0,0,0,0
2018,36,5-24 yr,0,0,1,5,0,0,1,0,0
2018,37,5-24 yr,0,0,2,8,0,0,2,0,0
2018,38,5-24 yr,0,0,0,4,0,1,0,0,0
2018,39,5-24 yr,0,0,0,6,0,0,2,0,0
2017,40,25-64 yr,0,0,40,6,1,0,7,1,1
2017,41,25-64 yr,0,0,54,5,2,1,9,0,0
2017,42,25-64 yr,0,0,49,3,0,0,3,0,0
2017,43,25-64 yr,0,0,48,5,8,0,7,2,0
2017,44,25-64 yr,0,0,66,2,5,0,8,1,0
2017,45,25-64 yr,0,0,77,10,1,2,14,1,0
2017,46,25-64 yr,0,0,122,10,1,1,20,2,0
2017,47,25-64 yr,0,0,166,17,0,3,14,3,0
2017,48,25-64 yr,0,0,226,21,5,1,29,6,0
2017,49,25-64 yr,0,0,292,27,0,0,33,9,0
2017,50,25-64 yr,0,0,419,46,6,6,57,8,0
2017,51,25-64 yr,0,0,713,117,8,9,84,22,0
2017,52,25-64 yr,0,0,784,121,5,7,117,15,0
2018,1,25-64 yr,0,0,896,141,10,9,159,31,0
2018,2,25-64 yr,0,0,852,162,12,8,174,49,0
2018,3,25-64 yr,0,0,730,157,10,11,187,39,0
2018,4,25-64 yr,0,0,779,207,6,13,209,50,0
2018,5,25-64 yr,0,0,705,186,9,12,222,70,0
2018,6,25-64 yr,0,0,594,202,7,17,270,95,0
2018,7,25-64 yr,0,0,413,185,5,20,281,86,0
2018,8,25-64 yr,0,0,273,115,3,26,290,78,0
2018,9,25-64 yr,0,0,169,102,3,20,176,62,0
2018,10,25-64 yr,0,0,114,59,7,22,165,42,0
2018,11,25-64 yr,0,0,77,54,4,19,145,39,0
2018,12,25-64 yr,0,0,64,51,2,11,162,43,0
2018,13,25-64 yr,0,0,70,59,0,13,148,23,0
2018,14,25-64 yr,0,0,54,42,1,12,136,28,0
2018,15,25-64 yr,0,0,28,43,0,9,93,20,0
2018,16,25-64 yr,0,0,18,19,0,10,65,16,0
2018,17,25-64 yr,0,0,17,11,0,10,44,19,0
2018,18,25-64 yr,0,0,10,12,1,7,50,6,0
2018,19,25-64 yr,0,0,6,6,0,5,27,4,0
2018,20,25-64 yr,0,0,3,4,0,1,12,4,0
2018,21,25-64 yr,0,0,3,2,0,1,7,2,0
2018,22,25-64 yr,0,0,4,3,0,1,3,0,0
2018,23,25-64 yr,0,0,2,2,0,2,3,0,0
2018,24,25-64 yr,0,0,2,2,0,2,2,1,0
2018,25,25-64 yr,0,0,2,0,0,2,1,0,0
2018,26,25-64 yr,0,0,3,1,0,0,0,0,0
2018,27,25-64 yr,0,0,1,3,0,0,0,0,0
2018,28,25-64 yr,0,0,2,4,0,0,0,0,0
2018,29,25-64 yr,0,0,0,5,0,0,1,0,0
2018,30,25-64 yr,0,0,2,2,3,0,0,0,0
2018,31,25-64 yr,0,0,4,2,0,0,0,0,0
2018,32,25-64 yr,0,0,5,3,0,0,1,1,0
2018,33,25-64 yr,0,0,1,3,0,0,1,0,0
2018,34,25-64 yr,0,0,4,8,2,0,1,0,0
2018,35,25-64 yr,0,0,1,4,0,0,2,0,0
2018,36,25-64 yr,0,0,5,6,0,0,0,0,0
2018,37,25-64 yr,0,0,4,12,0,0,2,0,0
2018,38,25-64 yr,0,0,5,12,2,0,2,1,0
2018,39,25-64 yr,0,0,5,11,0,0,1,0,0
2017,40,65+ yr,0,0,43,2,1,0,6,0,0
2017,41,65+ yr,0,0,44,0,2,0,2,1,0
2017,42,65+ yr,0,0,51,1,0,0,4,0,0
2017,43,65+ yr,0,0,52,0,3,0,6,3,0
2017,44,65+ yr,0,0,71,2,1,0,12,1,0
2017,45,65+ yr,0,0,83,0,0,0,6,4,0
2017,46,65+ yr,0,0,123,3,0,1,12,5,0
2017,47,65+ yr,0,0,152,1,0,0,22,1,0
2017,48,65+ yr,0,0,274,20,2,0,42,9,0
2017,49,65+ yr,0,0,321,9,2,3,27,2,0
2017,50,65+ yr,0,0,448,13,2,1,30,7,0
2017,51,65+ yr,0,0,861,37,4,0,59,20,0
2017,52,65+ yr,0,0,1142,49,12,2,119,23,0
2018,1,65+ yr,0,0,1302,62,10,7,170,37,0
2018,2,65+ yr,0,0,1214,65,12,6,164,26,0
2018,3,65+ yr,0,0,1051,50,8,2,154,34,0
2018,4,65+ yr,0,0,975,74,18,2,203,33,0
2018,5,65+ yr,0,0,844,76,15,3,186,31,0
2018,6,65+ yr,0,0,683,60,12,7,214,30,0
2018,7,65+ yr,0,0,514,67,17,6,249,25,0
2018,8,65+ yr,0,0,422,48,5,9,279,40,0
2018,9,65+ yr,0,0,210,35,2,3,243,39,0
2018,10,65+ yr,0,0,130,19,2,4,204,36,0
2018,11,65+ yr,0,0,108,25,0,3,215,27,0
2018,12,65+ yr,0,0,77,17,2,4,157,24,0
2018,13,65+ yr,0,0,64,16,1,8,167,26,0
2018,14,65+ yr,0,0,48,8,3,7,149,11,0
2018,15,65+ yr,0,0,33,13,0,7,117,8,0
2018,16,65+ yr,0,0,39,3,0,5,82,9,0
2018,17,65+ yr,0,0,21,7,0,0,55,8,0
2018,18,65+ yr,0,0,8,4,0,1,43,7,0
2018,19,65+ yr,0,0,6,1,0,0,27,2,0
2018,20,65+ yr,0,0,3,3,0,2,5,1,0
2018,21,65+ yr,0,0,2,2,0,1,5,3,0
2018,22,65+ yr,0,0,0,2,0,0,5,2,0
2018,23,65+ yr,0,0,0,2,0,0,4,2,0
2018,24,65+ yr,0,0,0,1,0,0,2,0,0
2018,25,65+ yr,0,0,0,0,0,0,3,0,0
2018,26,65+ yr,0,0,0,0,0,0,1,0,0
2018,27,65+ yr,0,0,4,1,0,0,2,0,0
2018,28,65+ yr,0,0,6,0,0,1,3,1,0
2018,29,65+ yr,0,0,3,1,0,1,2,0,0
2018,30,65+ yr,0,0,0,1,0,0,0,0,0
2018,31,65+ yr,0,0,3,1,1,0,1,0,0
2018,32,65+ yr,0,0,3,1,0,0,1,0,0
2018,33,65+ yr,0,0,7,1,0,0,0,0,0
2018,34,65+ yr,0,0,10,2,3,0,0,1,0
2018,35,65+ yr,0,0,3,3,0,0,0,0,0
2018,36,65+ yr,0,0,9,3,0,0,0,0,0
2018,37,65+ yr,0,0,6,3,0,1,1,0,0
2018,38,65+ yr,0,0,7,5,0,0,0,0,0
2018,39,65+ yr,0,0,7,2,0,0,0,0,0
2016,40,0-4 yr,0,0,6,0,0,0,0,0,0
2016,41,0-4 yr,0,0,3,2,0,1,0,1,0
2016,42,0-4 yr,0,0,5,3,0,4,1,0,0
2016,43,0-4 yr,0,0,7,2,0,0,0,1,0
2016,44,0-4 yr,0,0,6,3,0,2,1,0,0
2016,45,0-4 yr,0,0,8,1,0,0,0,0,0
2016,46,0-4 yr,0,0,12,5,1,0,0,1,0
2016,47,0-4 yr,0,0,15,1,1,0,0,4,0
2016,48,0-4 yr,0,0,14,2,1,3,0,2,0
2016,49,0-4 yr,0,0,30,2,0,1,0,0,0
2016,50,0-4 yr,0,0,40,1,2,2,1,3,0
2016,51,0-4 yr,0,0,69,3,1,7,1,1,0
2016,52,0-4 yr,0,0,93,9,1,10,4,0,0
2017,1,0-4 yr,0,0,105,4,0,10,6,4,0
2017,2,0-4 yr,0,0,133,5,0,7,3,4,0
2017,3,0-4 yr,0,0,151,3,1,7,9,3,0
2017,4,0-4 yr,0,0,148,9,1,9,12,2,0
2017,5,0-4 yr,0,0,163,5,2,15,15,4,0
2017,6,0-4 yr,0,0,186,11,0,24,13,2,0
2017,7,0-4 yr,0,0,177,5,0,18,28,13,0
2017,8,0-4 yr,0,0,149,11,0,29,20,9,0
2017,9,0-4 yr,0,0,118,8,1,30,23,13,0
2017,10,0-4 yr,0,0,97,5,2,14,30,5,0
2017,11,0-4 yr,0,0,72,3,2,24,30,11,0
2017,12,0-4 yr,0,0,63,9,0,27,22,8,0
2017,13,0-4 yr,0,0,60,2,0,14,27,13,0
2017,14,0-4 yr,0,0,40,2,0,21,20,9,0
2017,15,0-4 yr,0,0,13,0,0,8,23,5,0
2017,16,0-4 yr,0,0,16,1,0,10,4,6,0
2017,17,0-4 yr,0,0,16,1,0,1,10,3,0
2017,18,0-4 yr,0,0,6,1,0,7,6,2,0
2017,19,0-4 yr,0,0,6,0,0,4,7,2,0
2017,20,0-4 yr,0,0,5,0,0,8,5,3,0
2017,21,0-4 yr,0,0,0,0,0,3,5,0,0
2017,22,0-4 yr,0,0,1,0,0,7,4,0,0
2017,23,0-4 yr,0,0,2,0,0,6,3,2,0
2017,24,0-4 yr,0,0,3,0,0,1,2,1,0
2017,25,0-4 yr,0,0,0,1,0,1,3,1,0
2017,26,0-4 yr,0,0,2,1,0,0,2,1,0
2017,27,0-4 yr,0,0,5,1,0,1,2,1,0
2017,28,0-4 yr,0,0,4,1,0,0,1,2,1
2017,29,0-4 yr,0,0,2,1,0,0,0,0,3
2017,30,0-4 yr,0,0,2,2,0,0,3,0,0
2017,31,0-4 yr,0,0,2,0,0,0,0,0,2
2017,32,0-4 yr,0,0,4,1,1,0,0,0,0
2017,33,0-4 yr,0,0,4,0,0,0,0,0,0
2017,34,0-4 yr,0,0,4,0,0,0,0,0,0
2017,35,0-4 yr,0,0,2,6,0,0,0,0,0
2017,36,0-4 yr,0,0,8,0,0,0,0,0,0
2017,37,0-4 yr,0,0,9,3,0,0,0,0,0
2017,38,0-4 yr,0,0,5,0,0,0,1,0,9
2017,39,0-4 yr,0,0,9,4,0,0,0,1,14
2016,40,5-24 yr,0,0,25,2,0,2,0,1,0
2016,41,5-24 yr,0,0,22,4,0,4,2,1,0
2016,42,5-24 yr,0,0,28,2,0,3,6,0,0
2016,43,5-24 yr,0,0,29,3,0,3,1,2,0
2016,44,5-24 yr,0,0,39,2,1,4,1,3,0
2016,45,5-24 yr,0,0,41,2,0,4,0,5,0
2016,46,5-24 yr,0,0,49,2,0,2,0,8,0
2016,47,5-24 yr,0,0,28,0,1,4,0,6,0
2016,48,5-24 yr,0,0,71,4,2,9,0,10,0
2016,49,5-24 yr,0,0,130,3,0,16,3,2,0
2016,50,5-24 yr,0,0,229,3,1,21,5,8,0
2016,51,5-24 yr,0,0,254,6,5,20,7,6,0
2016,52,5-24 yr,0,0,196,1,3,29,6,7,0
2017,1,5-24 yr,0,0,258,5,2,22,13,3,0
2017,2,5-24 yr,0,0,458,9,2,22,24,6,0
2017,3,5-24 yr,0,0,585,10,2,37,35,7,0
2017,4,5-24 yr,0,0,739,4,10,37,43,13,0
2017,5,5-24 yr,0,0,916,11,5,56,73,26,0
2017,6,5-24 yr,0,0,893,21,2,67,104,20,0
2017,7,5-24 yr,0,0,715,16,6,89,92,38,0
2017,8,5-24 yr,0,0,542,16,3,89,115,38,0
2017,9,5-24 yr,0,0,344,14,2,61,95,38,0
2017,10,5-24 yr,0,0,306,9,2,82,112,55,0
2017,11,5-24 yr,0,0,202,7,2,67,109,43,0
2017,12,5-24 yr,0,0,232,7,0,91,115,47,0
2017,13,5-24 yr,0,0,150,4,1,70,120,74,0
2017,14,5-24 yr,0,0,87,1,0,56,87,52,0
2017,15,5-24 yr,0,0,52,2,0,34,78,33,0
2017,16,5-24 yr,0,0,39,1,0,28,50,20,0
2017,17,5-24 yr,0,0,46,0,1,32,50,9,0
2017,18,5-24 yr,0,0,23,2,0,18,44,10,0
2017,19,5-24 yr,0,0,16,1,0,17,32,10,0
2017,20,5-24 yr,0,0,11,0,0,13,34,10,0
2017,21,5-24 yr,0,0,10,2,0,9,23,5,0
2017,22,5-24 yr,0,0,4,0,0,22,14,4,0
2017,23,5-24 yr,0,0,5,0,0,8,10,3,0
2017,24,5-24 yr,0,0,5,0,0,4,13,2,0
2017,25,5-24 yr,0,0,4,0,0,4,4,2,0
2017,26,5-24 yr,0,0,9,1,0,3,5,1,0
2017,27,5-24 yr,0,0,5,2,0,3,2,0,0
2017,28,5-24 yr,0,0,7,2,0,3,2,4,1
2017,29,5-24 yr,0,0,7,1,0,0,2,3,5
2017,30,5-24 yr,0,0,3,1,1,1,3,1,0
2017,31,5-24 yr,0,0,10,2,0,0,0,2,3
2017,32,5-24 yr,0,0,7,1,0,0,0,1,0
2017,33,5-24 yr,0,0,10,0,2,0,0,1,0
2017,34,5-24 yr,0,0,14,1,1,1,2,9,0
2017,35,5-24 yr,0,0,9,4,0,0,0,7,0
2017,36,5-24 yr,0,0,15,2,0,0,4,0,0
